Add_Date,Add_Time,Company,Degree,Experience,Finance,Highlights,If_Intern,Income_Max(k),Income_Mid(k),Income_Min(k),Income_Range(k),Industry,Location,Size,Sys_Date,Sys_Time,Tags,Title
20200121,16:28,OPPO,本科,经验5-10年,不需要融资,"“弹性工作,福利待遇好,奖金丰厚,工作氛围”",0,80,60.0,40,40k-80k,硬件,南山区,2000人以上,20200121,23:41:18,企业服务 工具软件 架构师,数据架构师5745
20200121,17:07,微创软件,大专,经验1-3年,不需要融资,“薪资福利 五险一金 工作环境”,0,12,10.5,9,9k-12k,"企业服务,移动互联网",西丽,2000人以上,20200121,23:41:18,移动互联网 Hive Scala,数据开发
20200121,11:39,袋鼠云,大专,经验5-10年,B轮,“阿里系创业、云计算生态、餐补、双休”,0,30,24.0,18,18k-30k,数据服务,大冲,150-500人,20200121,23:41:18,企业服务 大数据 Hadoop Spark Flink Storm,大数据开发工程师 (MJ000221)
20200121,15:21,森香,不限,经验1年以下,不需要融资,"“节日福利,生日福利,周末双休,年终奖”",0,7,5.5,4,4k-7k,"移动互联网,金融",南山医院,150-500人,20200121,23:41:18,支付 风控 风险管理 风险分析,数据助理
20200121,23:00,AfterShip,本科,经验3-5年,不需要融资,“全球项目、高薪资、高福利、国际团队”,0,25,20.0,15,15k-25k,电商,南山区,50-150人,20200121,23:41:19,大数据 工具软件 数据库,数据仓库工程师
20200121,18:07,中金财富,本科,经验3-5年,不需要融资,“工作氛围好”,0,15,12.5,10,10k-15k,金融,福田区,2000人以上,20200121,23:41:19,证券/期货 Oracle MySQL Hadoop DB2,数据工程师
20200121,15:04,顺丰-丰e足食,大专,经验1-3年,上市公司,“平台好，发展空间大”,0,10,8.0,6,6k-10k,"移动互联网,消费生活",福田区,2000人以上,20200121,23:41:19,新零售 售后支持 售前支持,销售数据专员
20200121,23:00,AfterShip,本科,经验3-5年,不需要融资,“全球项目、高薪资、高福利、国际团队”,0,35,30.0,25,25k-35k,电商,南山区,50-150人,20200121,23:41:19,DBA 数据库 数据库开发,数据库工程师（DBA）
20200121,17:53,字节跳动,本科,经验3-5年,C轮,“六险一金，弹性工作，免费三餐，租房补贴”,0,50,37.5,25,25k-50k,文娱丨内容,南山区,2000人以上,20200121,23:41:19,产品经理,数据产品经理
20200121,16:22,维恩贝特,大专,经验1-3年,上市公司,"“技术大咖多 ,薪资福利好”",0,18,16.5,15,15k-18k,电商,南山区,500-2000人,20200121,23:41:19,数据库,数据库开发
20200121,18:00,路通网络,本科,经验不限,不需要融资,"“年内两加薪,年内两晋升,五险又双休”",0,16,12.0,8,8k-16k,"移动互联网,游戏",南油,500-2000人,20200121,23:41:19,游戏 SQL 数据库,数据分析专员
20200121,23:00,AfterShip,本科,经验3-5年,不需要融资,“全球项目、高薪资、高福利、国际团队”,0,35,26.5,18,18k-35k,电商,南山区,50-150人,20200121,23:41:19,工具软件 企业服务,大数据开发工程师
20200121,17:48,世联行,本科,经验5-10年,上市公司,“上市集团；制度完善”,0,25,20.0,15,15k-25k,企业服务,科技园,2000人以上,20200121,23:41:19,房产服务 BI 数据分析,数据产品经理
20200121,17:48,世联行,本科,经验3-5年,上市公司,"“上市集团,内部正编,大平台,发展空间大”",0,9,7.5,6,6k-9k,企业服务,科技园,2000人以上,20200121,23:41:19,大数据 BI 数据分析,数据分析专员
20200121,17:28,DataEye,不限,经验不限,B轮,"“五险一金,下午茶，旅游，晋升”",0,5,4.5,4,4k-5k,"移动互联网,游戏",南山区,50-150人,20200121,23:41:19,大数据 其他,标签数据处理员
20200121,17:33,八爪鱼,本科,经验3-5年,A轮,“AI+大数据；氛围活跃；周末双休”,0,15,11.5,8,8k-15k,数据服务,科技园,50-150人,20200121,23:41:43,销售 商务渠道 大客户销售 客户代表,商务经理（大数据）
20200121,15:56,捷通华声,大专,经验不限,D轮及以上,“人工智能、项目奖金、五险一金、晋升空间大”,0,8,6.0,4,4k-8k,"移动互联网,数据服务",科技园,150-500人,20200121,23:41:43,校对 编辑,数据标注员（粤语标注）
20200121,11:37,找靓机,本科,经验1-3年,B轮,“晋升体系 发展空间 专业培训 高薪”,0,10,8.0,6,6k-10k,"移动互联网,电商",福田区,500-2000人,20200121,23:41:43,电商 运营 数据分析,数据运营
20200121,19:22,字节跳动,本科,经验3-5年,C轮,"“高薪期权,餐补”",0,30,22.5,15,15k-30k,文娱丨内容,南山区,2000人以上,20200121,23:41:43,扁平管理 弹性工作 大厨定制三餐 就近租房补贴,游戏数据分析师
20200121,15:38,滴普科技,大专,经验5-10年,A轮,“五险一金 零食福利 弹性时间 年终奖”,0,30,25.0,20,20k-30k,"企业服务,数据服务",大冲,500-2000人,20200121,23:41:43,新零售 数据 B2B BI,数据产品经理
20200121,17:30,AKULAKU,本科,经验3-5年,D轮及以上,“绩效激励 东南亚独角兽”,0,30,22.5,15,15k-30k,"移动互联网,金融",南山区,500-2000人,20200121,23:41:43,Spark Flink,风控数据开发(J10533)
20200121,10:08,辉煌明天,大专,经验1年以下,不需要融资,"“氛围轻松,年轻团队,周末双休,弹性工作”",0,5,4.0,3,3k-5k,移动互联网,南油,150-500人,20200121,23:41:43,数据分析 数据运营,Excel数据专员
20200121,10:08,辉煌明天,大专,经验不限,不需要融资,"“五险一金,专业带教,氛围轻松,团队年轻”",0,8,6.0,4,4k-8k,移动互联网,南油,150-500人,20200121,23:41:43,移动互联网 广告营销 用户运营,数据运营
20191230,00:00,闻善科技,本科,经验不限,不需要融资,“世界500强 稳定 行业权威 福利好”,0,35,27.5,20,20k-35k,"移动互联网,硬件",福田区,150-500人,20200121,23:41:43,Oracle,数据
20200121,19:44,无秘,本科,经验3-5年,B轮,"“快速成长,待遇丰厚,团队优秀”",0,40,30.0,20,20k-40k,"移动互联网,金融",南山区,150-500人,20200121,23:41:43,教育 移动互联网,数据分析开发工程师
20200121,10:30,武汉佰钧成技术有限责任公司,大专,经验不限,不需要融资,“六险一金，弹性工作时间”,0,10,7.5,5,5k-10k,移动互联网,龙华新区,2000人以上,20200121,23:41:43,社交 媒体,数据标注员
20200121,17:33,八爪鱼,本科,经验3-5年,A轮,“AI+大数据；氛围活跃；新技术”,0,30,22.5,15,15k-30k,数据服务,科技园,50-150人,20200121,23:41:43,云计算 大数据 产品设计 数据分析 需求分析,产品经理（数据分析）
20200121,18:37,博悦科创,大专,经验3-5年,不需要融资,“双休五险一金年终奖定期体检年度旅游下午茶”,0,16,14.0,12,12k-16k,移动互联网,福田区,500-2000人,20200121,23:41:43,大数据 互联网金融,大数据开发工程师
20200121,15:38,滴普科技,大专,经验5-10年,A轮,“技能培训与职业晋升”,0,40,32.5,25,25k-40k,"企业服务,数据服务",大冲,500-2000人,20200121,23:41:43,大数据 新零售 Hadoop 数据仓库,大数据架构师
20200121,14:26,华策,本科,经验1-3年,未融资,"“五险一金,周末双休,年终奖,年度旅游”",0,15,12.0,9,9k-15k,移动互联网,岗厦,50-150人,20200121,23:41:43,Oracle MySQL SQLServer,数据库BI开发
20200121,14:26,华策,本科,经验1-3年,未融资,"“五险一金,周末双休,年终奖,年度旅游”",0,15,12.0,9,9k-15k,移动互联网,岗厦,50-150人,20200121,23:42:34,Oracle MySQL SQLServer,数据库BI开发
20200121,14:26,华策,本科,经验不限,未融资,"“五险一金,年终奖,通讯补贴,绩效奖金”",0,20,15.0,10,10k-20k,移动互联网,岗厦,50-150人,20200121,23:42:34,数据挖掘,数据挖掘工程师-数据建模
20200121,10:57,格隆汇,本科,经验3-5年,A轮,“金融 数据产品”,0,25,20.0,15,15k-25k,"社交,金融",大冲,50-150人,20200121,23:42:34,金融 大数据,数据工程师
