Add_Date,Add_Time,Company,Degree,Experience,Finance,Highlights,If_Intern,Income_Max(k),Income_Mid(k),Income_Min(k),Income_Range(k),Industry,Location,Size,Sys_Date,Sys_Time,Tags,Title
20200127,00:00,杰豪科技,本科,经验1年以下,未融资,“发展空间大，有转正机会”,0,18,15.0,12,12k-18k,"金融,数据服务",福田区,15-50人,20200130,00:25:51,大数据 移动互联网 数据挖掘 数据架构 SQLServer,数据建模
20200113,00:00,KLOOK 客路旅行,本科,经验1-3年,D轮及以上,“国际化平台、环境舒适、好玩有趣”,0,35,26.5,18,18k-35k,旅游,上沙,500-2000人,20200130,00:25:51,零食水果供应 带薪年假 绩效奖金 扁平管理,数据分析
20200130,00:00,平安人寿,本科,经验3-5年,上市公司,"“五险一金,绩效奖金,带薪年假,定期体检”",0,20,15.0,10,10k-20k,金融,福田区,2000人以上,20200130,00:25:51,大数据 数据分析 数据处理,02247K-数据分析岗
20200130,17:50,TCL,不限,经验5-10年,上市公司,“大咖云集、六险一金、年度聚餐、年度体检等”,0,40,30.0,20,20k-40k,"移动互联网,其他",西丽,2000人以上,20200130,00:25:51,数据分析 数据库 数据运营,数据分析产品经理
20200118,00:00,阿卡索外教网,本科,经验1-3年,C轮,"“五险一金,员工旅游,健身俱乐部,带薪年假”",0,25,20.0,15,15k-25k,"教育,移动互联网",罗湖区,2000人以上,20200130,00:25:51,移动互联网 教育,数据分析
20200130,00:00,平安产险,本科,经验1-3年,上市公司,"“五险一金,绩效奖金,带薪年假,员工旅游”",0,15,13.0,11,11k-15k,金融,车公庙,2000人以上,20200130,00:25:51,数据分析,数据分析师
20200130,00:00,平安人寿,本科,经验1年以下,上市公司,"“五险一金,带薪年假,节日福利,定期体检”",0,20,15.0,10,10k-20k,金融,购物公园,2000人以上,20200130,00:25:51,金融 保险,022440-数据分析岗
20200130,00:00,平安人寿,本科,经验1-3年,上市公司,"“五险一金,绩效奖金,节日福利,定期体检”",0,1,1.0,1,1k-1k,金融,福田区,2000人以上,20200130,00:25:51,金融,0222JM-数据分析师
20200130,18:09,字节跳动,本科,经验3-5年,C轮,“弹性工作，免费三餐，租房补贴，带薪休假”,0,30,22.5,15,15k-30k,文娱丨内容,南山区,2000人以上,20200130,00:25:51,产品,游戏数据分析师
20200121,00:00,华安保险,本科,经验3-5年,不需要融资,“14薪、全年包吃”,0,34,27.0,20,20k-34k,金融,新洲,2000人以上,20200130,00:25:51,数据挖掘 数据分析 SQLServer,数据建模
20200130,17:54,字节跳动,本科,经验不限,C轮,“扁平管理，过亿用户，职业大牛”,0,70,52.5,35,35k-70k,文娱丨内容,南山区,2000人以上,20200130,00:25:51,数据分析,数据分析专家
