Add_Date,Add_Time,Company,Degree,Experience,Finance,Highlights,If_Intern,Income_Max(k),Income_Mid(k),Income_Min(k),Income_Range(k),Industry,Location,Size,Sys_Date,Sys_Time,Tags,Title
20200125,09:01,云天励飞,硕士,经验5-10年,B轮,“14薪”,0,30,22.5,15,15k-30k,人工智能,南山区,500-2000人,20200125,12:07:52,云计算 大数据 数据分析 结构设计 商业产品 智能硬件,数据产品经理
20200125,10:28,零壹互联,本科,经验3-5年,B轮,“大数据 平台 物联网”,0,30,25.0,20,20k-30k,"移动互联网,消费生活",坂田,150-500人,20200125,12:07:52,大数据,全域大数据产品经理
20200125,09:41,博悦科创,本科,经验3-5年,不需要融资,"“五险一金,员工旅游,定期体检,年终奖金”",0,17,14.5,12,12k-17k,移动互联网,福田区,500-2000人,20200125,12:07:52,Hive Hadoop 数据仓库,大数据开发工程师
20191230,00:00,闻善科技,本科,经验不限,不需要融资,“世界500强 稳定 行业权威 福利好”,0,35,27.5,20,20k-35k,"移动互联网,硬件",福田区,150-500人,20200125,12:07:52,Oracle,数据
20200125,00:00,平安人寿,本科,经验5-10年,上市公司,“世界500强公司 数据领域需求分析”,0,30,27.5,25,25k-30k,金融,新洲,2000人以上,20200125,12:07:52,保险,数据产品经理
20200125,00:00,平安人寿,本科,经验不限,上市公司,"“五险一金,商业保险,企业年金,领导好”",0,40,30.0,20,20k-40k,金融,新洲,2000人以上,20200125,12:07:52,保险 互联网金融,数据挖掘工程师
20200125,00:00,平安人寿,本科,经验3-5年,上市公司,"“技术氛围好,福利待遇高,大牛在身旁”",0,30,22.5,15,15k-30k,金融,福田区,2000人以上,20200125,12:07:52,大数据 金融 数据仓库 Hadoop 数据分析 Spark,大数据开发工程师(数据仓库方向)
20200125,00:00,平安产险,本科,经验不限,上市公司,"“五险一金,绩效奖金,带薪年假,员工旅游”",0,18,15.0,12,12k-18k,金融,福田区,2000人以上,20200125,12:07:52,大数据 数据分析,数据产品经理
20200125,00:00,平安产险,本科,经验1-3年,上市公司,"“五险一金,绩效奖金,带薪年假,员工旅游”",0,15,13.0,11,11k-15k,金融,车公庙,2000人以上,20200125,12:07:52,数据分析,数据分析师
20200125,00:00,平安产险,本科,经验不限,上市公司,"“五险一金,绩效奖金,带薪年假,员工旅游”",0,19,15.5,12,12k-19k,金融,车公庙,2000人以上,20200125,12:07:52,数据挖掘,数据挖掘工程师
20200124,00:00,字节跳动,本科,经验3-5年,C轮,“六险一金，弹性工作，免费三餐，租房补贴”,0,50,37.5,25,25k-50k,文娱丨内容,南山区,2000人以上,20200125,12:07:52,产品经理,数据产品经理
20200124,00:00,字节跳动,本科,经验3-5年,C轮,“弹性工作，免费三餐，租房补贴，带薪休假”,0,30,22.5,15,15k-30k,文娱丨内容,南山区,2000人以上,20200125,12:07:52,产品,游戏数据分析师
20200125,00:00,平安金融壹账通,本科,经验3-5年,上市公司,"“五险一金,带薪年假,节日福利,定期体检”",0,20,17.5,15,15k-20k,金融,福田区,500-2000人,20200125,12:07:52,金融 产品设计,383107-数据产品经理（风控方向）
20200124,00:00,字节跳动,本科,经验不限,C轮,“扁平管理，过亿用户，职业大牛”,0,70,52.5,35,35k-70k,文娱丨内容,南山区,2000人以上,20200125,12:07:52,数据分析,数据分析专家
20200125,00:00,平安科技,本科,经验10年以上,不需要融资,"“五险一金,绩效奖金,带薪年假,定期体检”",0,40,30.0,20,20k-40k,金融,科技园,2000人以上,20200125,12:07:52,大数据 金融 数据仓库,1121KR-数据仓库架构专家
20200125,00:00,平安科技,本科,经验3-5年,不需要融资,"“五险一金,绩效奖金,带薪年假,定期体检”",0,30,22.5,15,15k-30k,金融,南山区,2000人以上,20200125,12:08:22,金融 大数据 Hadoop,1121LA-资深数据工程师
20200125,00:00,平安科技,本科,经验5-10年,不需要融资,"“五险一金,带薪年假,节日福利,绩效奖金”",0,40,30.0,20,20k-40k,金融,南山区,2000人以上,20200125,12:08:22,工具软件 大数据 数据分析 数据 人工智能 搜索,1121UR-数据产品经理
20200123,00:00,博悦科创,本科,经验3-5年,不需要融资,“五险一金 定期体检 员工旅游 年终奖”,0,20,16.0,12,12k-20k,移动互联网,福田区,500-2000人,20200125,12:08:22,Oracle Hadoop Hive,急聘大数据开发
20200125,00:00,平安金服,本科,经验5-10年,上市公司,"“五险一金,带薪年假,定期体检”",0,50,37.5,25,25k-50k,金融,福田区,2000人以上,20200125,12:08:22,大数据 数据挖掘,1221JK-风险管理部数据挖掘岗
20200125,00:00,平安金服,本科,经验1-3年,上市公司,"“五险一金,带薪年假,定期体检,节日福利”",0,25,20.0,15,15k-25k,金融,福田区,2000人以上,20200125,12:08:22,金融 后勤 行政,123101-采购运营中心数据运营岗
20200125,00:00,平安证券,本科,经验1-3年,上市公司,"“五险一金,绩效奖金,带薪年假,定期体检”",0,20,17.5,15,15k-20k,金融,福田区,2000人以上,20200125,12:08:22,金融 运维 数据仓库 数据库管理员 数据库开发,05211Z-数据库管理工程师
20200125,00:00,平安证券,本科,经验3-5年,上市公司,"“五险一金,带薪年假,节日福利,绩效奖金”",0,25,20.0,15,15k-25k,金融,福田区,2000人以上,20200125,12:08:22,金融,0521G4-数据库管理工程师
20200124,00:00,博悦科创,大专,经验3-5年,不需要融资,"“双休,五险一金,年终奖,年度旅游”",0,14,12.5,11,11k-14k,移动互联网,南山区,500-2000人,20200125,12:08:22,Oracle Hadoop Spark,大数据开发工程师
20200122,00:00,杰豪科技,本科,经验1年以下,未融资,“发展空间大，有转正机会”,0,18,15.0,12,12k-18k,"金融,数据服务",福田区,15-50人,20200125,12:08:22,大数据 移动互联网 数据挖掘 数据架构 SQLServer,数据建模
20200121,00:00,汇合,本科,经验1-3年,不需要融资,“公有云平台”,0,13,10.5,8,8k-13k,"企业服务,金融",科技园,2000人以上,20200125,12:08:22,数据分析 SQL,数据分析师
20200122,00:00,微创软件,大专,经验1-3年,不需要融资,“薪资福利 五险一金 工作环境”,0,12,10.5,9,9k-12k,"企业服务,移动互联网",西丽,2000人以上,20200125,12:08:22,移动互联网 Hive Scala,数据开发
