Add_Date,Add_Time,Advantage,Company,Degree,Description,Experience,Finance,Highlights,If_Intern,Income_Max(k),Income_Mid(k),Income_Min(k),Income_Range(k),Industry,Location,Path,Size,Sys_Date,Sys_Time,Tags,Title
20200202,00:00,微信支付海量数据 机器学习建模 黑产对抗,腾讯,本科,"工作职责：
基于腾讯海量微信和手Q支付数据进行风险分析和建模，研究十亿级用户支付行为，包括资金转账、商户消费等。使用机器学习算法建模（如评分卡、异常检测和时序分析等），挖掘账户存在的各种盗刷和反洗钱风险，对用户进行全方位画像，建立用户黑白标签体系，识别用户及商户风险类型和异常模式，使用复杂网络算法挖掘犯罪团伙及资金流，与风险策略专家和反洗钱专家一起合作，保障微信支付用户的资金安全和平台的健康运营

工作要求：
1、2年以上工作经验，熟悉分布式数据大数据处理，拥有hadoop(如hive)或spark工具使用经验；
2、熟练掌握常用的机器学习算法(如：分类、回归、聚类、异常检测等),对深度学习领域的CNN、RNN、LSTM有所了解，在NLP或社交网络分析算法上有研究者优先;
3、熟练使用Python、R、sas、scala等一种或多种编程语言
4、对熟悉黑产模式、拥有黑产对抗经验和反洗钱风险建模经验者优先
5、良好的分析问题和解决问题能力，自我驱动，并且具备较强的学习能力、创新应用能力及沟通协调能力",经验3-5年,上市公司,“微信支付海量数据 机器学习建模 黑产对抗”,0,40,30.0,20,20k-40k,社交,南油,https://www.lagou.com/jobs/6401669.html?show=40cfe90f40c445db9a11eb79a6550631,2000人以上,20200203,00:19:59,移动互联网 大数据 风控 第三方支付产品 分析师,风险建模分析师
20200202,00:00,鹅厂福利,腾讯,本科,"岗位职责：    
1、对个人支付账户进行深入调查、分析、定性，摸清交易背景及运作模式，掌握异常特征及风险水平，对风险账户进行相应处置；
2、对风险账户或异常账户进行扩散分析，了解特定群体账户大盘情况及风险规模，总结群体特征或运作模式，输出专项分析报告并提出处置方案，降低业务风险；
3、与其他安全团队保持沟通合作，不断丰富调查所需情报，提升调查分析的质量和效率；推动风险账户的线下打击与可疑账户处置方案的落地。

岗位要求：
1、本科及以上学历，2年以上反欺诈、反洗钱、案件调查、黑产打击等相关工作经验，对风险敏感，熟悉风险排查、案件调查、团伙挖掘等方法；
2、有大数据提取分析经验，熟练使用SQL，Python，Excel等分析工具的优先考虑；
3、对特定风险类型有丰富的分析或调查经验的优先考虑；
4、风险敏感度高，善于思考、分析、总结。有良好的学习能力、沟通技能，踏实肯干，有较强的团队合作精神和责任心。",经验3-5年,上市公司,“鹅厂福利”,0,25,20.0,15,15k-25k,社交,南油,https://www.lagou.com/jobs/6613989.html?show=40cfe90f40c445db9a11eb79a6550631,2000人以上,20200203,00:20:43,互联网金融 支付 风控 审核 风险分析,个人账户风险分析师
20200202,00:00,互联网金融、海量用户、发展空间大,腾讯,本科,"岗位职责：
通过分析海量用户和交易数据，研究各类洗钱风险、上游犯罪等行为模式，建立用户的可疑交易监测模型，提升平台的可疑交易识别能力，控制洗钱风险；针对不同的业务，进行可疑交易监测体系评估和建设，全面提升公司整体风险控制水平及技能。

岗位要求：
1、有3年以上工作经验，有大数据加工建模经验，熟悉Hadoop/spark等大数据计算平台者优先；
2、熟悉掌握各类机器学习算法，并有相关项目经验，熟悉团伙挖掘者优先；
3、熟练掌握scala、python、R、sas等一种或多种编程语言；
4、有反洗钱可疑交易建模经验者优先，有过挖掘或熟悉各类黑产模式者优先；",经验3-5年,上市公司,“互联网金融、海量用户、发展空间大”,0,40,30.0,20,20k-40k,社交,南油,https://www.lagou.com/jobs/6094875.html?show=40cfe90f40c445db9a11eb79a6550631,2000人以上,20200203,00:21:24,互联网金融 Hadoop Spark 数据挖掘 数据分析,反洗钱风险挖掘工程师
20200203,00:00,"五险一金,年终分红,免费班车",平安金服,本科,"工作职责
1.对平安集团内子公司（含资管、信托、证券、基金、不动产、银行、普惠、陆金所、租赁、寿险、产险、养老险、海外等）风险管理体系持续进行评估和督导管理，提升子公司风险管理能力。
2.对平安集团全量资产业务，如债权类（对公信贷、非标债权 等）、投资类（固收类、权益类） 等业务，进行风险评估、监测和预警，防范重大资产质量风险。
3.根据集团规划，开发和实施AI智能监测预警项目。
4.其他领导交办的事项。
任职要求
1.35周岁以下，全日制本科及以上学历，金融、金融工程、统计学、应用数学等专业优先。
2.具有6年及以上债权类（对公信贷、非标债权 等）、投资类（固收类、权益类等）业务评审、风险管理工作经验。
3.有风险管理项目经验，具备独立的风险分析、识别和管控能力。
4.工作主动性强，责任心强，积极向上，要求进步，有较强的抗压能力和沟通协调能力。",经验3-5年,上市公司,"“五险一金,年终分红,免费班车”",0,50,37.5,25,25k-50k,金融,福田区,https://www.lagou.com/jobs/6523994.html?show=40cfe90f40c445db9a11eb79a6550631,2000人以上,20200203,00:21:52,金融,1221JF-风险管理经理
20200203,00:00,"五险一金,带薪年假,定期体检,绩效奖金",平安金服,本科,"工作职责
1. 熟悉反洗钱法律法规，负责对反洗钱的监管新规进行解读和宣导；
2..负责督导和检视反洗钱相关制度、流程及管控措施的贯彻落实情况
3..在部门反洗钱集中监测和管理优化方向方面进行整体规划，并定期向公司管理层进行报告
4..根据管理层的要求对反洗钱工作进行整体统筹和规划，提出具有可行性的项目方案和建议、并协调相关方落实执行
5..定期优化和整理各类反洗钱风险量化指标，按要求完成数据分析、汇总和汇报工作
6.完成上级交办的其他事项
任职要求
1.全日制本科以上学历，法律、经济管理、金融、数理统计等相关专业
2.具备三年以上反洗钱合规管理工作经验
3.具备制裁合规风险监测和管控的工作经验，对境内境外制裁合规管控的风险点有较强的分析判断能力
4.备较好的公文表达和撰写水平，对反洗钱工作汇报材料具有较丰富的总结和提炼能力
5.具有良好的沟通、协调能力、书面及语言表达能力
6.具有较好的学习能力、团队合作意识强、具有反洗钱资格证书或金融行业从业证书者优先
5.掌握Word、Excel、PPT等主流文档处理工具，具备良好的逻辑思维、概述能力和文字功底，较强的PPT制作能力优先；
6、对反洗钱有良好的风险认知，有项目管理经验者优先。",经验3-5年,上市公司,"“五险一金,带薪年假,定期体检,绩效奖金”",0,25,20.0,15,15k-25k,金融,福田区,https://www.lagou.com/jobs/6772325.html?show=40cfe90f40c445db9a11eb79a6550631,2000人以上,20200203,00:22:30,金融 风控,123112-风险策略管控岗
20200203,00:00,"五险一金,带薪年假,定期体检,高温补贴",平安银行信用卡中心,本科,"工作职责
1.根据伪冒业务需要，跟进系统、产品项目，撰写系统需求说明书。
2.对IT已经开发完成的系统项目，配合IT进行测试，并完成测试报告。
3.监控所有业务项目的运营情况，对出现的进度、时效异常，跟进并及时解决问题。
4.负责编写各产品作业手册，对作业人员在产品应用方面的问题进行指导。
5.领导交办的其它工作。
任职要求
1.本科学历
2.1-3年相关工作经验
3、金融/计算机/统计相关专业优先",经验1年以下,上市公司,"“五险一金,带薪年假,定期体检,高温补贴”",0,16,14.0,12,12k-16k,金融,南山区,https://www.lagou.com/jobs/6164214.html?show=40cfe90f40c445db9a11eb79a6550631,500-2000人,20200203,00:23:00,金融 风险管理,BK22H8-伪冒风险管理团队风险产品规划岗
20200203,00:00,"五险一金,带薪年假,定期体检,绩效奖金",平安证券,硕士,"工作职责
1、根据公司战略、业务以及风险管理中长期发展需求，制定风险管理系统架构规划，持续优化全面风险管理平台，实现风险管理工作的全面数字化、线上化转型；
2、负责风险数据平台数据架构层次划分和主题模型规划设计，推动数据架构的落地实施及优化；
3、负责风险数据治理，建立风险数据资产管理体系，提升风险数据质量，确保风险数据的全面、及时、准确；
4、根据业务及风险管理的需求，提供面向业务及风险管理的OLAP、报表、数据提取等数据服务，深化风险数据应用；
5、应用人工智能、大数据、云计算等先进技术，持续优化风险管理的数字化转型。
任职要求
1、研究生及以上学历，计算机、金融、数学/统计等相关专业，5年以上相关工作经验；
2、具备企业系统架构规划和数据架构规划 能力；熟练掌握数据分析、数据挖掘的方法以及常用的数据分析工具；优秀的交互设计能力和数据可视化设计能力；
3、具备良好的数据敏感度和业务视野，能够敏锐地发现数据价值和业务问题/机遇；
4、具备较强的工作责任心和团队合作意识，抗压能力强，具有较强分析问题和解决问题的能力，具备良好的协调沟通能力；
5、具有咨询公司或金融机构企业级数据平台建设或全面风险管理平台建设经验者优先考虑。",经验5-10年,上市公司,"“五险一金,带薪年假,定期体检,绩效奖金”",0,30,25.0,20,20k-30k,金融,福田区,https://www.lagou.com/jobs/6177814.html?show=40cfe90f40c445db9a11eb79a6550631,2000人以上,20200203,00:23:32,金融,0521AI-风险数字化管理岗
20200203,00:00,"五险一金,绩效奖金,定期体检,带薪年假",平安证券,硕士,"工作职责
1、负责加强信息安全风险和IT运营安全风险的二道防线建设，包括完善关键风险指标的持续监控机制；督促相关部门及时分析原因、制定并落实风险应对整改措施；协调各相关方参与信息技术风险管理问题的沟通与整改等。
2、负责信息系统开发上线的风险管理评审，包括在新产品新业务系统或存量业务重大系统变更上线评审中增加风险管理评审，评审风险管理功能是否完备、权限清晰、能与业务系统同步上线、以及是否满足其他信息技术风险管理要求。
3、负责评估信息系统与相关业务恢复目标和恢复策略制定的合理性，对公司容灾方案、应急预案、应急演练等相关管理机制从人员、流程、制度等方面提出风险管理建议，确保与公司整体风险管理策略保持一致。
4、负责与公司信息技术部门协同加强信息技术风险文化宣导 。
5、负责与公司信息技术部门建立定期沟通机制，定期检视信息技术风险管理的重点难点，加强重点领域的信息技术风险管理，以适应内外部管理要求。
任职要求
1、研究生及以上学历，计算机、金融、风险等相关专业，5年以上相关工作经验；
2、具备信息技术开发、信息技术运行维护、信息安全、业务连续性计划与应急处置等领域的相关工作经验；
3、具有较强的风险与合规意识以及相关风险管理经验，熟悉信息系统项目管理全流程，掌握信息技术风险防范措施和监控手段；
4、具有良好的沟通、表达和协调能力，责任心强，能够承受较强的工作压力；
5、有信息系统项目管理经验以及业务连续性管理经验的优先考虑。",经验5-10年,上市公司,"“五险一金,绩效奖金,定期体检,带薪年假”",0,30,25.0,20,20k-30k,金融,福田区,https://www.lagou.com/jobs/6177818.html?show=40cfe90f40c445db9a11eb79a6550631,2000人以上,20200203,00:24:07,金融,0521AJ-信息技术风险管理岗
20200203,00:00,"五险一金,带薪年假,定期体检",平安金服,本科,"工作职责
1、负责数据清洗、数据平台维护及迭代，支持数据入库、分析加工、标签化等功能，推动数据在风险领域的应用。
2、负责数据ETL过程。
3、负责编写大数据产品需求文档，协调算法、研发、业务、测试团队，推动项目进度。
任职要求
1、本科及以上学历，计算机、数理统计、金融相关专业
2、三年及以上互联网或大数据公司从业经验，精通数据库底层架构，具备一定数据开发经验
3、具备ETL开发经验， 精通SQL及性能优化，熟悉MongoDB/Redis/ Hive/Hadoop/Spark
4、了解零售金融板块的用户画像的分析方法及业务逻辑，具有数据加工或者分析经验
5、有海量数据爬取、清洗、加工到应用的全流程项目经验者优先。",经验5-10年,上市公司,"“五险一金,带薪年假,定期体检”",0,50,37.5,25,25k-50k,金融,福田区,https://www.lagou.com/jobs/6524964.html?show=40cfe90f40c445db9a11eb79a6550631,2000人以上,20200203,00:24:39,大数据 数据挖掘,1221JK-风险管理部数据挖掘岗
20200203,00:00,"五险一金,餐补,高温补贴,带薪年假",平安银行信用卡中心,本科,"工作职责
1.根据客户资质，制定、实施我行信用卡客户的额度调整政策。
2、根据客户资质，制定、实施我行信用卡客户的分期产品政策。
3、通过分析我行客户的额度使用渠道，优化额度管理的各项政策（包括调额、分期等）
4、制定我行信用卡客户额度使用的差异化定价策略，提高整个信用卡客户组合的收益
5、及时完成领导交办的其他任务
任职要求
1.、本科学历
2、.1-3年相关工作经验",经验3-5年,上市公司,"“五险一金,餐补,高温补贴,带薪年假”",0,25,20.0,15,15k-25k,金融,南山区,https://www.lagou.com/jobs/6177138.html?show=40cfe90f40c445db9a11eb79a6550631,500-2000人,20200203,00:25:05,其他 信贷管理 风控,BK22I4-风险政策管理部组合管理岗
