Path,Title,Location,Income_Range(k),Experience,Degree,Company,Industry,Finance,Size,Tags,Highlights,Sys_Date,Sys_Time,Add_Date,Add_Time
https://www.lagou.com/jobs/6401669.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,风险建模分析师,南油,20k-40k,经验3-5年,本科,腾讯,社交,上市公司,2000人以上,移动互联网 大数据 风控 第三方支付产品 分析师,“微信支付海量数据 机器学习建模 黑产对抗”,20200224,23:26:19,20200224,23:16
https://www.lagou.com/jobs/6422044.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,财付通高级风险分析师（深圳）,南油,18k-36k,经验3-5年,本科,腾讯,社交,上市公司,2000人以上,互联网金融 征信 数据挖掘 Spark 算法 数据分析,“优质平台、海量数据、海量用户”,20200224,23:26:19,20200224,23:16
https://www.lagou.com/jobs/6262618.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,反洗钱/支付风险分析师,南油,16k-32k,经验1-3年,本科,腾讯,社交,上市公司,2000人以上,互联网金融 银行 Hive MySQL SQLServer 数据分析,“互联网金融、海量数据、发展空间大”,20200224,23:26:19,20200224,23:16
https://www.lagou.com/jobs/5392073.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,风险策略分析师,科技园,15k-30k,经验3-5年,本科,随手科技,金融,C轮,500-2000人,风控,"“节日福利多,涨薪快,平台大,晋升空间大”",20200224,23:26:19,20200224,21:58
https://www.lagou.com/jobs/6285563.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,高级风险策略分析师,大冲,15k-30k,经验3-5年,本科,随手科技,金融,C轮,500-2000人,风控 策略设计 分析师,"“节日福利多,涨薪快,平台大,晋升空间大”",20200224,23:26:19,20200224,21:57
https://www.lagou.com/jobs/6444635.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,风险策略分析师(J10238),南山区,15k-25k,经验1-3年,本科,传易,"移动互联网,社交",不需要融资,150-500人,互联网金融 风控 合规稽查,"“五险一金,员工旅游,年终奖金,定期体检”",20200224,23:26:19,20200224,18:04
https://www.lagou.com/jobs/6804479.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,风险分析师（业务分析方向）(J13220),上梅林,15k-30k,经验不限,本科,货拉拉,"移动互联网,消费生活",D轮及以上,2000人以上,人工智能,“独角兽 反欺诈 大平台”,20200224,23:26:19,20200224,18:51
https://www.lagou.com/jobs/6741767.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,风险政策分析师(006292),宝安区,25k-45k,经验3-5年,本科,vivo,硬件,不需要融资,2000人以上,移动互联网 风控,"“发展空间大,工作氛围好,奖金丰厚”",20200224,23:26:19,20200224,17:17
https://www.lagou.com/jobs/6145453.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,风险策略经理,大冲,15k-30k,经验3-5年,本科,Yeahmobi,移动互联网,上市公司,150-500人,互联网金融 策略设计,“盈利项目 海外金融 广阔的晋升平台”,20200224,23:26:19,20200224,18:33
https://www.lagou.com/jobs/6757729.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,风险模型经理,大冲,18k-35k,经验3-5年,本科,Yeahmobi,移动互联网,上市公司,150-500人,互联网金融 风控,“蓝海市场 盈利项目 晋升平台大”,20200224,23:26:19,20200224,18:33
https://www.lagou.com/jobs/6558586.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,风险策略工程师,南山区,20k-40k,经验3-5年,本科,OPPO,硬件,不需要融资,2000人以上,移动互联网 风控,"“大平台,给力薪酬,海景办公楼,高配健身房”",20200224,23:26:19,20200224,14:24
https://www.lagou.com/jobs/6774596.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,市场分析师,南山区,12k-24k,经验1-3年,本科,Shopee,电商,上市公司,2000人以上,电商,"“东南亚电商,牛人多,15天年假”",20200224,23:26:19,20200224,22:36
https://www.lagou.com/jobs/5909932.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,风险策略经理 (MJ000620),南山区,15k-25k,经验3-5年,本科,乐信,金融,上市公司,2000人以上,互联网金融 支付 风险管理 风险分析,“上市公司 五险一金 发展空间 团队激励”,20200224,23:26:19,20200224,22:48
https://www.lagou.com/jobs/6692466.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,风险策略经理-授信策略 (MJ000858),南山区,20k-25k,经验3-5年,本科,乐信,金融,上市公司,2000人以上,风控 信贷风险管理 风险分析,“上市公司 五险一金 发展空间 团队激励”,20200224,23:26:19,20200224,22:48
https://www.lagou.com/jobs/6826393.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,海外游戏数据分析师,南山区,15k-30k,经验3-5年,本科,字节跳动,文娱丨内容,C轮,2000人以上,产品,"“弹性工作,免费三餐,带薪休假,下午茶”",20200224,23:26:19,20200224,20:19
https://www.lagou.com/jobs/6770508.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,风险策略经理（尽调） (MJ000984),南山区,25k-35k,经验5-10年,本科,乐信,金融,上市公司,2000人以上,风控,“上市公司 五险一金 发展空间 团队激励”,20200224,23:26:37,20200224,22:48
https://www.lagou.com/jobs/6474346.html?show=a7934e6cca1c47b7a0a1a97b5bef2edf,数据分析师（风控）,大冲,12k-20k,经验1-3年,本科,Yeahmobi,移动互联网,上市公司,150-500人,互联网金融 数据分析 MySQL,“超棒福利 超棒团队 火箭式成长”,20200224,23:26:37,20200224,18:33
